"Message","Label"
"Hi, can we talk later today?","0"
"免费领取限量版耳机，点击 earbuds.scam","1"
"明天见，别忘了带东西","0"
"Unlock exclusive rewards! Click rewardz.com","1"
"周末有计划吗？一起出去玩吧","0"
"您的手机号中奖5000元，请回复领取","1"
"Can you call me back when you’re free?","0"
"Get a free subscription! Click sub.scam","1"
"今天忙了一天，终于可以休息了","0"
"您的包裹被扣押，请访问 package.fake","1"
"Hey, let’s grab dinner tonight","0"
"投资20元，日赚200元！点击了解","1"
"你今天有空吗？想约个时间","0"
"Win a free TV! Enter at tv.scam","1"
"明天是周末，打算怎么过？","0"
"您的账户异常，请登录 account.fake 验证","1"
"刚到家，给你发个消息","0"
"免费领取价值1000元的礼券，点击 voucher.scam","1"
"周末想去看电影，你有空吗？","0"
"Get 90% off all items! Shop at deal.scam","1"
"你最近忙吗？有空联系我","0"
"您的订单已丢失，请点击 refund.fake 退款","1"
"Let’s meet up tomorrow afternoon","0"
"赚大钱的机会！50元起投，点击加入","1"
"今天阳光很好，适合出门","0"
"Congratulations! You’ve won $500. Claim at prize.scam","1"
"你昨晚去哪儿了？给我回个消息","0"
"您的银行账户需验证，请访问 bank.fake","1"
"Hi, just checking in with you","0"
"免费领取最新款手表，点击 watch.scam","1"
"明天有个会议，你能参加吗？","0"
"Unlock special discounts! Click discountz.com","1"
"你今天过得怎么样？有空聊聊","0"
"您的包裹延误，请访问 shipping.fake 查询","1"
"Can you send me the file later?","0"
"投资100元，月赚10万！点击了解","1"
"刚吃完饭，给你发个消息","0"
"Win a free phone! Enter at phone.scam","1"
"周末有空一起出去吗？","0"
"您的账户需重置，请登录 reset.fake","1"
"Hey, how’s your week been?","0"
"免费试用减肥产品，点击 slim.scam","1"
"明天上午有空吗？想跟你聊聊","0"
"Get 70% off today only! Click now","1"
"你最近工作顺利吗？","0"
"您的订单异常，请访问 check.fake 检查","1"
"Let’s plan something fun for the weekend","0"
"赚快钱的机会！每天5分钟，点击加入","1"
"今天有点热，注意防暑哦","0"
